"id","type","x","y","z","vx","vy","vz","fz","fy","fz","TIMESTEP"
3,1,-0.197696,0.0131216,-0.174,-0.76646,0.0575379,-1.56954,-0.0821841,0,-0.0821841,30000
4,1,-0.124751,0.0106696,-0.0877762,-0.723603,0.0543206,-0.844945,-0.0821841,0,-0.0821841,30000
6,1,-0.0105356,0.00558681,-0.0800764,-0.784989,0.0589288,0.826252,-0.0821841,0,-0.0821841,30000
5,1,-0.0726388,0.00573692,-0.0493053,-0.73954,0.055517,-0.130802,-0.0821841,0,-0.0821841,30000
7,1,0.00230449,0.00163712,0.0367499,0,0,-1.08508,-0.0821841,0,-0.0821841,30000
8,1,0.00219928,0.00326163,0.103221,0,0,-0.127236,-0.0821841,0,-0.0821841,30000
1,1,-0.397663,0.0323835,-0.290398,-1.46006,0.109607,-0.367213,-0.0821841,0,-0.0821841,31000
2,1,-0.336093,0.0275844,-0.221078,-1.25878,0.0944959,-0.613324,-0.0821841,0,-0.0821841,31000
3,1,-0.21402,0.0143471,-0.202294,-1.22577,0.0920179,0.276471,-0.0821841,0,-0.0821841,31000
4,1,-0.139223,0.011756,-0.106637,-0.723603,0.0543206,-1.04115,-0.0821841,0,-0.0821841,31000
6,1,-0.0262353,0.00676538,-0.0655128,-0.784989,0.0589288,0.630052,-0.0821841,0,-0.0821841,31000
5,1,-0.0874296,0.00684726,-0.0538829,-0.73954,0.055517,-0.327002,-0.0821841,0,-0.0821841,31000
7,1,0.00230449,0.00163712,0.0130867,0,0,-1.28128,-0.0821841,0,-0.0821841,31000
8,1,0.00219928,0.00326163,0.0987149,0,0,-0.323436,-0.0821841,0,-0.0821841,31000
1,1,-0.426864,0.0345756,-0.299704,-1.46006,0.109607,-0.563413,-0.0821841,0,-0.0821841,32000
2,1,-0.361268,0.0294744,-0.235306,-1.25878,0.0944959,-0.809524,-0.0821841,0,-0.0821841,32000
3,1,-0.238535,0.0161874,-0.198727,-1.22577,0.0920179,0.0802705,-0.0821841,0,-0.0821841,32000
